iter	Passed	Remaining
401	14615	3563
402	14660	3528
403	14708	3495
404	14739	3457
405	14763	3418
406	14792	3380
407	14822	3342
408	14849	3303
409	14876	3265
410	14904	3227
411	14931	3189
412	14958	3151
413	14986	3113
414	15012	3074
415	15040	3037
416	15069	2999
417	15097	2961
418	15125	2924
419	15154	2886
420	15183	2849
421	15209	2811
422	15236	2773
423	15264	2736
424	15290	2698
425	15318	2660
426	15343	2623
427	15371	2585
428	15398	2548
429	15426	2511
430	15454	2474
431	15487	2437
432	15515	2400
433	15543	2363
434	15720	2348
435	15776	2315
436	15811	2279
437	15849	2243
438	15886	2207
439	15918	2170
440	15998	2140
441	16058	2107
442	16083	2069
443	16108	2031
444	16136	1994
445	16161	1956
446	16186	1919
447	16214	1882
448	16241	1844
449	16269	1807
450	16297	1770
451	16325	1733
452	16357	1697
453	16386	1660
454	16414	1623
455	16441	1586
456	16470	1549
457	16498	1513
458	16529	1476
459	16561	1440
460	16611	1405
461	16643	1368
462	16676	1332
463	16705	1296
464	16802	1264
465	16918	1234
466	17041	1204
467	17077	1167
468	17115	1131
469	17148	1094
470	17180	1057
471	17213	1021
472	17247	984
473	17278	947
474	17311	911
475	17349	874
476	17387	838
477	17435	802
478	17475	766
479	17516	729
480	17556	693
481	17603	657
482	17666	621
483	17705	585
484	17743	548
485	17782	512
486	17828	475
487	17867	439
488	17906	402
489	17944	366
490	17984	329
491	18025	293
492	18066	256
493	18108	219
494	18147	183
495	18186	146
496	18229	110
497	18269	73
498	18308	36
499	18347	0
